City,month,NO2
Dublin (Ireland),2025-01-01,31.7
Reykjavik (Iceland),2025-01-01,16.3
Rome (Italy),2025-01-01,31.7
Vilnius (Lithuania),2025-01-01,21.1
Luxembourg (Luxembourg),2025-01-01,21.4
Riga (Latvia),2025-01-01,21.2
Valletta (Malta),2025-01-01,28.0
Oslo (Norway),2025-01-01,30.8
Warsaw (Poland),2025-01-01,24.7
Lisbon (Portugal),2025-01-01,23.6
Bucharest (Romania),2025-01-01,39.0
Stockholm (Sweden),2025-01-01,13.8
Ljubljana (Slovenia),2025-01-01,30.3
Bratislava (Slovakia),2025-01-01,18.1
Vienna (Austria),2025-02-01,23.6
Brussels (Belgium),2025-02-01,28.4
Sofia (Bulgaria),2025-02-01,32.1
Bern (Switzerland),2025-02-01,23.7
Nicosia (Cyprus),2025-02-01,30.0
Prague (Czech Republic),2025-02-01,35.0
Berlin (Germany),2025-02-01,26.4
Copenhagen (Denmark),2025-02-01,12.1
Tallinn (Estonia),2025-02-01,11.8
Athens (Greece),2025-02-01,28.0
Madrid (Spain),2025-02-01,34.6
EU27 (aggregate),2025-02-01,27.8
Helsinki (Finland),2025-02-01,13.3
Paris (France),2025-02-01,30.4
Zagreb (Croatia),2025-02-01,38.5
Budapest (Hungary),2025-02-01,33.4
Dublin (Ireland),2025-02-01,25.0
Reykjavik (Iceland),2025-02-01,7.0
Rome (Italy),2025-02-01,35.8
Vilnius (Lithuania),2025-02-01,33.0
Luxembourg (Luxembourg),2025-02-01,22.5
Riga (Latvia),2025-02-01,26.8
Valletta (Malta),2025-02-01,29.0
Oslo (Norway),2025-02-01,27.7
Warsaw (Poland),2025-02-01,29.5
Lisbon (Portugal),2025-02-01,27.2
Bucharest (Romania),2025-02-01,44.6
Stockholm (Sweden),2025-02-01,15.8
Ljubljana (Slovenia),2025-02-01,33.5
Bratislava (Slovakia),2025-02-01,21.5
Vienna (Austria),2025-03-01,23.5
Brussels (Belgium),2025-03-01,33.0
Sofia (Bulgaria),2025-03-01,27.4
Bern (Switzerland),2025-03-01,26.5
Nicosia (Cyprus),2025-03-01,24.2
Prague (Czech Republic),2025-03-01,33.7
Berlin (Germany),2025-03-01,27.9
Copenhagen (Denmark),2025-03-01,9.4
Tallinn (Estonia),2025-03-01,10.2
Athens (Greece),2025-03-01,43.0
Madrid (Spain),2025-03-01,19.9
EU27 (aggregate),2025-03-01,25.7
Helsinki (Finland),2025-03-01,11.7
Paris (France),2025-03-01,30.1
Zagreb (Croatia),2025-03-01,36.6
Budapest (Hungary),2025-03-01,28.4
Dublin (Ireland),2025-03-01,24.6
Reykjavik (Iceland),2025-03-01,8.4
Rome (Italy),2025-03-01,28.0
Vilnius (Lithuania),2025-03-01,34.6
Luxembourg (Luxembourg),2025-03-01,24.5
Riga (Latvia),2025-03-01,23.6
Valletta (Malta),2025-03-01,20.5
Amsterdam (Netherlands),2025-03-01,27.0
Oslo (Norway),2025-03-01,18.4
Warsaw (Poland),2025-03-01,32.2
Lisbon (Portugal),2025-03-01,16.8
Bucharest (Romania),2025-03-01,40.8
Stockholm (Sweden),2025-03-01,11.2
Ljubljana (Slovenia),2025-03-01,30.5
Bratislava (Slovakia),2025-03-01,22.1
Vienna (Austria),2025-04-01,15.0
Brussels (Belgium),2025-04-01,23.8
Sofia (Bulgaria),2025-04-01,20.8
Bern (Switzerland),2025-04-01,19.3
Nicosia (Cyprus),2025-04-01,15.2
Prague (Czech Republic),2025-04-01,23.5
Berlin (Germany),2025-04-01,16.5
Copenhagen (Denmark),2025-04-01,7.5
Tallinn (Estonia),2025-04-01,10.8
Athens (Greece),2025-04-01,31.2
Madrid (Spain),2025-04-01,16.2
EU27 (aggregate),2025-04-01,19.5
Helsinki (Finland),2025-04-01,9.5
Paris (France),2025-04-01,24.4
Zagreb (Croatia),2025-04-01,28.2
Budapest (Hungary),2025-04-01,16.8
Dublin (Ireland),2025-04-01,30.1
Reykjavik (Iceland),2025-04-01,3.6
Rome (Italy),2025-04-01,22.6
Vilnius (Lithuania),2025-04-01,21.8
Luxembourg (Luxembourg),2025-04-01,18.1
Riga (Latvia),2025-04-01,15.8
Valletta (Malta),2025-04-01,19.2
Amsterdam (Netherlands),2025-04-01,18.0
Oslo (Norway),2025-04-01,15.3
Warsaw (Poland),2025-04-01,23.0
Lisbon (Portugal),2025-04-01,16.3
Bucharest (Romania),2025-04-01,35.1
Stockholm (Sweden),2025-04-01,11.3
Ljubljana (Slovenia),2025-04-01,20.2
Bratislava (Slovakia),2025-04-01,16.0
Vienna (Austria),2025-05-01,13.1
Brussels (Belgium),2025-05-01,18.3
Sofia (Bulgaria),2025-05-01,16.9
Bern (Switzerland),2025-05-01,12.6
Nicosia (Cyprus),2025-05-01,15.9
Prague (Czech Republic),2025-05-01,18.5
Berlin (Germany),2025-05-01,13.8
Copenhagen (Denmark),2025-05-01,6.9
Tallinn (Estonia),2025-05-01,8.7
Athens (Greece),2025-05-01,31.9
Madrid (Spain),2025-05-01,14.8
EU27 (aggregate),2025-05-01,16.9
Helsinki (Finland),2025-05-01,8.4
Paris (France),2025-05-01,18.8
Zagreb (Croatia),2025-05-01,23.8
Budapest (Hungary),2025-05-01,16.1
Dublin (Ireland),2025-05-01,20.5
Reykjavik (Iceland),2025-05-01,4.3
Rome (Italy),2025-05-01,20.9
Vilnius (Lithuania),2025-05-01,18.5
Luxembourg (Luxembourg),2025-05-01,14.2
Riga (Latvia),2025-05-01,12.9
Valletta (Malta),2025-05-01,17.6
Amsterdam (Netherlands),2025-05-01,14.0
Oslo (Norway),2025-05-01,11.7
Warsaw (Poland),2025-05-01,22.5
Lisbon (Portugal),2025-05-01,16.6
Bucharest (Romania),2025-05-01,28.7
Stockholm (Sweden),2025-05-01,9.6
Ljubljana (Slovenia),2025-05-01,15.9
Bratislava (Slovakia),2025-05-01,19.0
Vienna (Austria),2025-06-01,12.5
Brussels (Belgium),2025-06-01,15.7
Sofia (Bulgaria),2025-06-01,18.3
Bern (Switzerland),2025-06-01,11.6
Nicosia (Cyprus),2025-06-01,14.3
Prague (Czech Republic),2025-06-01,16.3
Berlin (Germany),2025-06-01,13.7
Copenhagen (Denmark),2025-06-01,5.9
Tallinn (Estonia),2025-06-01,5.2
Athens (Greece),2025-06-01,32.9
Madrid (Spain),2025-06-01,18.1
EU27 (aggregate),2025-06-01,16.0
Helsinki (Finland),2025-06-01,7.4
Paris (France),2025-06-01,18.1
Zagreb (Croatia),2025-06-01,23.4
Budapest (Hungary),2025-06-01,15.5
Dublin (Ireland),2025-06-01,16.5
Reykjavik (Iceland),2025-06-01,4.4
Rome (Italy),2025-06-01,22.8
Vilnius (Lithuania),2025-06-01,12.1
Luxembourg (Luxembourg),2025-06-01,12.9
Riga (Latvia),2025-06-01,12.5
Valletta (Malta),2025-06-01,22.2
Amsterdam (Netherlands),2025-06-01,13.5
Oslo (Norway),2025-06-01,10.8
Warsaw (Poland),2025-06-01,18.2
Lisbon (Portugal),2025-06-01,14.1
Bucharest (Romania),2025-06-01,29.9
Stockholm (Sweden),2025-06-01,9.3
Ljubljana (Slovenia),2025-06-01,14.7
Bratislava (Slovakia),2025-06-01,16.3
Vienna (Austria),2025-07-01,10.8
Brussels (Belgium),2025-07-01,14.8
Sofia (Bulgaria),2025-07-01,17.3
Bern (Switzerland),2025-07-01,10.3
Nicosia (Cyprus),2025-07-01,12.2
Prague (Czech Republic),2025-07-01,15.6
Berlin (Germany),2025-07-01,14.5
Copenhagen (Denmark),2025-07-01,6.0
Tallinn (Estonia),2025-07-01,9.5
Athens (Greece),2025-07-01,34.7
Madrid (Spain),2025-07-01,13.9
EU27 (aggregate),2025-07-01,15.7
Helsinki (Finland),2025-07-01,9.1
Paris (France),2025-07-01,16.7
Zagreb (Croatia),2025-07-01,22.5
Budapest (Hungary),2025-07-01,14.0
Dublin (Ireland),2025-07-01,17.8
Reykjavik (Iceland),2025-07-01,4.2
Rome (Italy),2025-07-01,19.0
Vilnius (Lithuania),2025-07-01,13.7
Luxembourg (Luxembourg),2025-07-01,13.5
Riga (Latvia),2025-07-01,15.0
Valletta (Malta),2025-07-01,17.7
Amsterdam (Netherlands),2025-07-01,13.4
Oslo (Norway),2025-07-01,11.5
Warsaw (Poland),2025-07-01,22.0
Lisbon (Portugal),2025-07-01,14.0
Bucharest (Romania),2025-07-01,33.1
Stockholm (Sweden),2025-07-01,8.7
Ljubljana (Slovenia),2025-07-01,14.8
Bratislava (Slovakia),2025-07-01,10.3
Vienna (Austria),2025-08-01,13.6
Brussels (Belgium),2025-08-01,15.5
Sofia (Bulgaria),2025-08-01,16.9
Bern (Switzerland),2025-08-01,12.1
Nicosia (Cyprus),2025-08-01,10.4
Prague (Czech Republic),2025-08-01,20.2
Berlin (Germany),2025-08-01,15.9
Copenhagen (Denmark),2025-08-01,9.0
Tallinn (Estonia),2025-08-01,5.8
Athens (Greece),2025-08-01,21.1
Madrid (Spain),2025-08-01,16.6
EU27 (aggregate),2025-08-01,16.3
Helsinki (Finland),2025-08-01,7.3
Paris (France),2025-08-01,16.9
Zagreb (Croatia),2025-08-01,22.5
Budapest (Hungary),2025-08-01,19.2
Dublin (Ireland),2025-08-01,17.7
Reykjavik (Iceland),2025-08-01,3.9
Rome (Italy),2025-08-01,17.7
Vilnius (Lithuania),2025-08-01,15.9
Luxembourg (Luxembourg),2025-08-01,13.1
Riga (Latvia),2025-08-01,17.2
Valletta (Malta),2025-08-01,20.4
Amsterdam (Netherlands),2025-08-01,14.3
Oslo (Norway),2025-08-01,11.9
Warsaw (Poland),2025-08-01,22.4
Lisbon (Portugal),2025-08-01,15.6
Bucharest (Romania),2025-08-01,34.1
Stockholm (Sweden),2025-08-01,9.4
Ljubljana (Slovenia),2025-08-01,16.3
Bratislava (Slovakia),2025-08-01,14.2
Vienna (Austria),2025-09-01,14.3
Brussels (Belgium),2025-09-01,16.9
Sofia (Bulgaria),2025-09-01,19.8
Bern (Switzerland),2025-09-01,12.2
Nicosia (Cyprus),2025-09-01,16.2
Prague (Czech Republic),2025-09-01,19.2
Berlin (Germany),2025-09-01,16.3
Copenhagen (Denmark),2025-09-01,9.7
Tallinn (Estonia),2025-09-01,7.7
Athens (Greece),2025-09-01,26.7
Madrid (Spain),2025-09-01,18.8
EU27 (aggregate),2025-09-01,18.1
Helsinki (Finland),2025-09-01,9.7
Paris (France),2025-09-01,19.6
Zagreb (Croatia),2025-09-01,21.3
Budapest (Hungary),2025-09-01,18.9
Dublin (Ireland),2025-09-01,19.0
Reykjavik (Iceland),2025-09-01,3.5
Rome (Italy),2025-09-01,22.1
Vilnius (Lithuania),2025-09-01,17.0
Luxembourg (Luxembourg),2025-09-01,13.3
Riga (Latvia),2025-09-01,19.5
Valletta (Malta),2025-09-01,24.5
Amsterdam (Netherlands),2025-09-01,15.5
Oslo (Norway),2025-09-01,15.0
Warsaw (Poland),2025-09-01,20.9
Lisbon (Portugal),2025-09-01,18.8
Bucharest (Romania),2025-09-01,37.7
Stockholm (Sweden),2025-09-01,10.7
Ljubljana (Slovenia),2025-09-01,19.2
Bratislava (Slovakia),2025-09-01,14.4
Brussels (Belgium),2025-10-01,20.4
Sofia (Bulgaria),2025-10-01,24.6
Bern (Switzerland),2025-10-01,15.4
Nicosia (Cyprus),2025-10-01,19.6
Prague (Czech Republic),2025-10-01,19.9
Berlin (Germany),2025-10-01,17.0
Tallinn (Estonia),2025-10-01,8.7
Athens (Greece),2025-10-01,28.7
Madrid (Spain),2025-10-01,24.1
EU27 (aggregate),2025-10-01,21.3
Helsinki (Finland),2025-10-01,10.9
Paris (France),2025-10-01,21.6
Zagreb (Croatia),2025-10-01,32.0
Budapest (Hungary),2025-10-01,21.4
Reykjavik (Iceland),2025-10-01,10.0
Rome (Italy),2025-10-01,27.2
Vilnius (Lithuania),2025-10-01,21.0
Luxembourg (Luxembourg),2025-10-01,14.2
Riga (Latvia),2025-10-01,20.9
Valletta (Malta),2025-10-01,31.4
Amsterdam (Netherlands),2025-10-01,16.3
Warsaw (Poland),2025-10-01,21.5
Lisbon (Portugal),2025-10-01,23.8
Bucharest (Romania),2025-10-01,34.2
Stockholm (Sweden),2025-10-01,12.8
Ljubljana (Slovenia),2025-10-01,24.2
Bratislava (Slovakia),2025-10-01,15.3
